id,kode,nama_bahan,sumber,air_gram,energi_kal,protein_gram,lemak_gram,karbohidrat_gram,serat_gram,abu_gram,kalsium_mg,fosfor_mg,zatbesi_mg,natrium_mg,kalium_mg,tembaga_mg,seng_mg,retinol_mcg,bkaroten_mcg,karotentotal_mcg,thiamin_mg,riboflavin_mg,niasin_mg,vitc_mg,bdd,jenis_pangan,satuan,gambar
2353,FatSecretIndo,Steak Tempe,FatSecretIndo,0,4151,43.39,43.64,113.09,7.5,0,0,0,0,4138,1878,0,0,0,0,0,0,0,0,0,100,kacang biji bean,olahan/produk,https://m.ftscrt.com/static/recipe/5905c699-0809-4d8c-b364-dac48f954d89.jpg
2354,FatSecretIndo,Manggo Sticky Oats,FatSecretIndo,0,1096,2.82,8.26,48.62,9.4,0,0,0,0,316,155,0,0,0,0,0,0,0,0,0,100,serealia,olahan/produk,https://m.ftscrt.com/static/recipe/fcabcad6-816b-4806-9a6f-e6279895a49d.jpg
2355,FatSecretIndo,Agar-agar Kukus Coklat,FatSecretIndo,0,474,2.42,4.36,16.01,3,0,0,0,0,58,33,0,0,0,0,0,0,0,0,0,100,serealia,olahan/produk,https://m.ftscrt.com/static/recipe/3fa2439a-28a0-444a-bc7e-e80426a4c2b9.jpg
2356,FatSecretIndo,Sup Daging Tahu,FatSecretIndo,0,1125,14.42,14.19,22.49,3.1,0,0,0,0,892,546,0,0,0,0,0,0,0,0,0,100,daging unggas,olahan/produk,https://m.ftscrt.com/static/recipe/79fe14e7-521b-4a01-9334-dced8c9d6f70.jpg
2357,FatSecretIndo,Oseng Buncis Tempe,FatSecretIndo,0,889,7.92,6.32,36.32,6.3,0,0,0,0,799,636,0,0,0,0,0,0,0,0,0,100,sayuran,olahan/produk,https://m.ftscrt.com/static/recipe/cd166886-7814-47aa-a887-b63f43cb165b.jpg
2358,FatSecretIndo,Mentai Shirataki,FatSecretIndo,0,1471,2.2,27.76,24.27,2,0,0,0,0,552,2,0,0,0,0,0,0,0,0,0,100,sayuran,olahan/produk,https://m.ftscrt.com/static/recipe/c070cb47-4325-4c25-bcc0-ec46acff2a7d.jpg
2359,FatSecretIndo,Ayam Crispy Oatmil,FatSecretIndo,0,1190,20.48,16.06,14.82,1.7,0,0,0,0,1432,242,0,0,0,0,0,0,0,0,0,100,daging unggas,olahan/produk,https://m.ftscrt.com/static/recipe/a0f3d59b-ae95-44ca-860e-880ed8188266.jpg
2360,FatSecretIndo,Salad Ayam,FatSecretIndo,0,1573,22.51,13.98,41.93,4.5,0,0,0,0,594,701,0,0,0,0,0,0,0,0,0,100,daging unggas,olahan/produk,https://m.ftscrt.com/static/recipe/b31792aa-d36e-470b-9bdb-26204ea4eb05.jpg
2361,FatSecretIndo,Sup Baso Ikan,FatSecretIndo,0,295,6.9,1.26,7.47,0.4,0,0,0,0,1371,170,0,0,0,0,0,0,0,0,0,100,daging unggas,olahan/produk,https://m.ftscrt.com/static/recipe/8580b817-a7ad-40a4-b539-36a66c272e7f.jpg
2362,FatSecretIndo,Tumis Sawi Tahu,FatSecretIndo,0,1125,18.36,11.97,25.24,6.3,0,0,0,0,334,390,0,0,0,0,0,0,0,0,0,100,sayuran,olahan/produk,https://m.ftscrt.com/static/recipe/457f6fae-1e97-4491-9eaf-fc91cd2a1a2a.jpg
2363,FatSecretIndo,Nasi Goreng,FatSecretIndo,0,864,4.09,7.51,31.29,3.8,0,0,0,0,664,323,0,0,0,0,0,0,0,0,0,100,serealia,olahan/produk,https://m.ftscrt.com/static/recipe/5cd27966-6e93-4ebe-a947-e6fee9ccca74.jpg
2364,FatSecretIndo,Ampyang,FatSecretIndo,0,712,4.3,8.21,22.24,1.4,0,0,0,0,165,175,0,0,0,0,0,0,0,0,0,100,kacang biji bean,olahan/produk,https://m.ftscrt.com/static/recipe/dba35161-8174-48bc-92bd-8a0ac29e7e9a.jpg
2365,FatSecretIndo,Kangkung Tumis,FatSecretIndo,0,1883,10.93,32.4,35.27,9.1,0,0,0,0,215,1761,0,0,0,0,0,0,0,0,0,100,sayuran,olahan/produk,https://m.ftscrt.com/static/recipe/412f55e6-de55-4504-b6fe-03a7bf1a7aef.jpg
2366,FatSecretIndo,Sayur Bayam Bening,FatSecretIndo,0,230,5.01,1.51,9.35,4.8,0,0,0,0,120,957,0,0,0,0,0,0,0,0,0,100,sayuran,olahan/produk,https://m.ftscrt.com/static/recipe/afb0694b-6fc8-4325-9ab7-9fe254bc0b36.jpg
2367,FatSecretIndo,Tumis Tempe Sayur,FatSecretIndo,0,755,11.96,5.66,24.44,4.4,0,0,0,0,985,617,0,0,0,0,0,0,0,0,0,100,sayuran,olahan/produk,https://m.ftscrt.com/static/recipe/c62978ad-fdd4-4ffb-b3c0-82732599d9d4.jpg
2368,FatSecretIndo,Oat Pisang,FatSecretIndo,0,680,2.28,3.89,32.95,3,0,0,0,0,31,422,0,0,0,0,0,0,0,0,0,100,serealia,olahan/produk,https://m.ftscrt.com/static/recipe/2c22fed6-9d01-4a23-8ec2-69524b996291.jpg
2369,FatSecretIndo,Protein Bar Kacang Tanah,FatSecretIndo,0,302,2.2,3.63,8.99,0.8,0,0,0,0,1,61,0,0,0,0,0,0,0,0,0,100,serealia,olahan/produk,https://m.ftscrt.com/static/recipe/b6642417-1d25-42ed-9a27-fdf33b2b9812.jpg
2370,FatSecretIndo,Banana Oatmeal Pancake,FatSecretIndo,0,504,3.22,4.11,18.8,2.3,0,0,0,0,14,119,0,0,0,0,0,0,0,0,0,100,serealia,olahan/produk,https://m.ftscrt.com/static/recipe/dbbc47a7-dd6d-4c2f-b4eb-b7a7644b7e53.jpg
